epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,53790.5,0.79972,0.79276,0.59724,0.98802,0.8638,0.85708,0.87134,0.5156,0.91821,0.9103,0.88984,0.68802,1.30445,3.69514,0.76483,1.41996,0.0077725,0.0077725,0.0077725
47,54046,0.78177,0.74474,0.57852,0.96893,0.84813,0.85135,0.8424,0.49168,0.88852,0.89189,0.86878,0.64091,1.33627,3.14298,0.78958,1.4275,0.007723,0.007723,0.007723
48,54295.8,0.78959,0.74285,0.5841,0.96949,0.84961,0.85135,0.83357,0.4694,0.90413,0.90541,0.90198,0.67158,1.33371,3.16992,0.71223,1.45933,0.0076735,0.0076735,0.0076735
49,54537.3,0.7738,0.78781,0.5842,0.97205,0.86488,0.87838,0.8763,0.47916,0.9048,0.91892,0.90879,0.68707,1.42508,3.31543,0.68612,1.47968,0.007624,0.007624,0.007624
50,54818,0.77318,0.76116,0.56841,0.97108,0.8861,0.86486,0.87518,0.51339,0.92764,0.90541,0.90571,0.67436,1.27269,3.10919,0.74118,1.37591,0.0075745,0.0075745,0.0075745
51,55148,0.77595,0.75065,0.58263,0.96619,0.89827,0.85135,0.84659,0.48111,0.95302,0.89189,0.8928,0.64574,1.32968,2.7891,0.74199,1.45195,0.007525,0.007525,0.007525
52,55392.4,0.78208,0.75257,0.56987,0.96016,0.88782,0.87838,0.83336,0.47653,0.92879,0.91892,0.89009,0.67231,1.3899,3.6338,0.72761,1.47234,0.0074755,0.0074755,0.0074755
53,55651.8,0.75389,0.76606,0.5593,0.95429,0.88413,0.86486,0.86355,0.4988,0.93939,0.91892,0.91126,0.71515,1.3139,3.91524,0.74115,1.43958,0.007426,0.007426,0.007426
54,55986,0.76282,0.77276,0.55788,0.9675,0.88789,0.85618,0.88088,0.5426,0.94392,0.90981,0.90078,0.68807,1.18152,4.57361,0.6713,1.32327,0.0073765,0.0073765,0.0073765
55,56279.4,0.76471,0.74281,0.56938,0.96291,0.86207,0.85135,0.86739,0.53001,0.92361,0.89189,0.89662,0.69497,1.22193,4.22834,0.6761,1.35749,0.007327,0.007327,0.007327
56,56559.8,0.74358,0.71634,0.54908,0.94667,0.8847,0.85135,0.88697,0.5007,0.92996,0.89719,0.90054,0.70495,1.30001,4.03993,0.68883,1.4217,0.0072775,0.0072775,0.0072775
57,56874.6,0.74275,0.72987,0.5492,0.96321,0.87441,0.86486,0.86967,0.52318,0.92906,0.91892,0.89099,0.67007,1.23546,3.67822,0.78096,1.36098,0.007228,0.007228,0.007228
58,57185.5,0.72255,0.72649,0.54168,0.94439,0.88648,0.84419,0.84896,0.50103,0.94319,0.89741,0.9006,0.68918,1.25803,3.50761,0.70488,1.39016,0.0071785,0.0071785,0.0071785
59,57484.1,0.74219,0.76569,0.54287,0.96239,0.87334,0.83862,0.87027,0.49411,0.92958,0.89195,0.90365,0.68446,1.32332,3.93873,0.72539,1.45574,0.007129,0.007129,0.007129
60,57775.8,0.74687,0.76513,0.55107,0.9609,0.8823,0.85135,0.86409,0.51127,0.93831,0.90541,0.90614,0.66395,1.2472,3.43933,0.70739,1.44454,0.0070795,0.0070795,0.0070795
61,58071.5,0.73667,0.76046,0.53568,0.9554,0.90678,0.85135,0.87219,0.47058,0.96952,0.90541,0.91125,0.66733,1.29833,3.64997,0.72385,1.51608,0.00703,0.00703,0.00703
62,58339.7,0.7391,0.76834,0.53444,0.94638,0.88535,0.85135,0.82312,0.45491,0.94156,0.90541,0.88903,0.66198,1.38219,3.98101,0.74396,1.55038,0.0069805,0.0069805,0.0069805
63,58602.2,0.73172,0.68706,0.52596,0.95761,0.84951,0.85135,0.83672,0.52029,0.91608,0.88513,0.86664,0.62641,1.22933,3.22513,0.83073,1.38441,0.006931,0.006931,0.006931
64,58871.8,0.72206,0.70812,0.52843,0.94114,0.87637,0.86486,0.83001,0.4964,0.9314,0.91892,0.88884,0.67106,1.27889,3.79827,0.73902,1.4264,0.0068815,0.0068815,0.0068815
65,59130.6,0.7188,0.73943,0.52829,0.95015,0.88833,0.86486,0.83095,0.41934,0.94404,0.91186,0.90199,0.68505,1.44238,3.64526,0.71085,1.58277,0.006832,0.006832,0.006832
66,59399.4,0.72606,0.73019,0.52763,0.94712,0.88602,0.86486,0.84838,0.48865,0.94233,0.91892,0.9083,0.70014,1.37494,3.48411,0.70163,1.54741,0.0067825,0.0067825,0.0067825
67,59679.2,0.71821,0.7124,0.52693,0.94343,0.87607,0.86486,0.83599,0.50462,0.93082,0.91892,0.89755,0.66767,1.30807,3.7389,0.68777,1.4869,0.006733,0.006733,0.006733
68,59944,0.71648,0.69696,0.5166,0.94165,0.85174,0.86486,0.86115,0.45709,0.90498,0.91892,0.90321,0.68773,1.4287,3.25643,0.70519,1.53743,0.0066835,0.0066835,0.0066835
69,60216.9,0.7045,0.71152,0.51133,0.93959,0.88611,0.86486,0.81877,0.46628,0.94149,0.91892,0.88342,0.6525,1.35156,3.62153,0.74588,1.49606,0.006634,0.006634,0.006634
70,60475,0.70151,0.70238,0.50724,0.949,0.87362,0.85135,0.85866,0.48373,0.92908,0.90541,0.88727,0.66779,1.2823,3.83025,0.75578,1.445,0.0065845,0.0065845,0.0065845
71,60734,0.70205,0.71169,0.51074,0.93158,0.861,0.85135,0.84481,0.47311,0.91719,0.89803,0.87606,0.67258,1.29639,3.32025,0.74676,1.49343,0.006535,0.006535,0.006535
72,61007.1,0.70978,0.73994,0.51377,0.947,0.88799,0.85706,0.88589,0.54312,0.92996,0.89717,0.89669,0.686,1.17559,3.68659,0.67694,1.38281,0.0064855,0.0064855,0.0064855
