epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,673.391,0.95506,1.18771,1.15757,0.95513,0.53582,0.57719,0.5424,0.40235,0.53266,0.57811,0.54157,0.31559,0.9016,1.10445,1.58201,0.97205,0.008086,0.008086,0.008086
60,684.281,0.94732,1.17994,1.15119,0.95424,0.51017,0.61101,0.55285,0.41549,0.50572,0.60487,0.54713,0.32145,0.87499,1.12323,1.51993,0.95531,0.008053,0.008053,0.008053
61,695.255,0.94142,1.1629,1.12381,0.94663,0.50418,0.56368,0.55169,0.40412,0.49434,0.55278,0.53744,0.31849,0.89311,1.10847,1.58766,0.95992,0.00802,0.00802,0.00802
62,706.273,0.94715,1.17288,1.12792,0.95117,0.53228,0.58593,0.56183,0.42642,0.52954,0.58485,0.5566,0.33277,0.86803,1.07948,1.54,0.95566,0.007987,0.007987,0.007987
63,717.205,0.94288,1.17528,1.14456,0.95141,0.50878,0.63116,0.55863,0.4205,0.50325,0.62182,0.5544,0.33546,0.88784,1.04398,1.49626,0.95806,0.007954,0.007954,0.007954
64,728.289,0.94115,1.16597,1.11977,0.95265,0.58122,0.63368,0.61092,0.45316,0.57922,0.62883,0.60664,0.36687,0.87851,1.03859,1.31619,0.95814,0.007921,0.007921,0.007921
65,739.538,0.94793,1.17217,1.1201,0.95609,0.57548,0.6156,0.61817,0.46691,0.57877,0.61265,0.6132,0.37404,0.8642,1.01923,1.25973,0.95254,0.007888,0.007888,0.007888
66,750.76,0.93298,1.14193,1.0929,0.94663,0.61161,0.61711,0.64291,0.50026,0.61689,0.61084,0.63829,0.39231,0.84228,1.03046,1.14151,0.93917,0.007855,0.007855,0.007855
67,762.064,0.9293,1.14731,1.09978,0.94304,0.57547,0.62099,0.61636,0.4695,0.57454,0.61629,0.61151,0.38057,0.84015,0.99659,1.29707,0.93732,0.007822,0.007822,0.007822
68,773.131,0.92404,1.15393,1.08629,0.94535,0.58298,0.65968,0.64509,0.49026,0.58245,0.65674,0.63965,0.38749,0.84029,0.99222,1.19155,0.94358,0.007789,0.007789,0.007789
69,784.109,0.94204,1.17733,1.12467,0.94944,0.65618,0.62703,0.65161,0.49786,0.65418,0.62739,0.64704,0.41077,0.84769,0.98976,1.17707,0.94227,0.007756,0.007756,0.007756
70,795.361,0.93656,1.15196,1.09022,0.94634,0.57322,0.62452,0.62187,0.46664,0.57147,0.62382,0.61794,0.3651,0.85781,1.04157,1.32507,0.94055,0.007723,0.007723,0.007723
71,806.044,0.89588,1.09639,1.05953,0.93599,0.656,0.64859,0.66435,0.5077,0.65113,0.6434,0.6582,0.40086,0.8436,0.97455,1.13467,0.94078,0.00769,0.00769,0.00769
72,817.351,0.91788,1.14964,1.06855,0.93514,0.59222,0.65718,0.65494,0.49867,0.58756,0.64862,0.6434,0.38066,0.84755,1.03677,1.18629,0.93825,0.007657,0.007657,0.007657
73,828.4,0.90905,1.14845,1.05422,0.93852,0.6534,0.64328,0.67382,0.51556,0.6406,0.6256,0.65353,0.40149,0.82176,1.01154,1.10751,0.93804,0.007624,0.007624,0.007624
74,839.574,0.90414,1.12174,1.05419,0.93917,0.56058,0.62936,0.61534,0.46477,0.55945,0.62156,0.60781,0.37043,0.84311,1.06248,1.29397,0.94132,0.007591,0.007591,0.007591
75,850.241,0.90879,1.12905,1.0485,0.94004,0.53052,0.57945,0.56646,0.42965,0.53004,0.577,0.56201,0.33691,0.8711,1.05814,1.76552,0.95424,0.007558,0.007558,0.007558
76,860.938,0.90543,1.11327,1.03517,0.93612,0.5607,0.6173,0.60927,0.46398,0.55771,0.6146,0.60386,0.36864,0.87246,1.07748,1.32401,0.95047,0.007525,0.007525,0.007525
77,871.623,0.91306,1.14564,1.05807,0.93702,0.65135,0.61438,0.66042,0.51023,0.64085,0.59412,0.64014,0.4061,0.82418,0.98349,1.18867,0.92993,0.007492,0.007492,0.007492
78,882.451,0.89915,1.13651,1.04217,0.94003,0.66689,0.64838,0.69428,0.54228,0.66416,0.64794,0.68907,0.43675,0.8279,0.94316,1.13238,0.93161,0.007459,0.007459,0.007459
79,893.594,0.90338,1.13399,1.03747,0.93537,0.67899,0.64814,0.69604,0.53877,0.67693,0.64511,0.69087,0.42907,0.82259,0.95558,1.0675,0.93281,0.007426,0.007426,0.007426
80,904.374,0.9088,1.14265,1.04577,0.9372,0.60688,0.6767,0.6651,0.50766,0.61215,0.66299,0.66192,0.40585,0.82986,0.99737,1.18819,0.93214,0.007393,0.007393,0.007393
81,915.104,0.9139,1.14189,1.02773,0.93719,0.62414,0.6707,0.67014,0.51682,0.61805,0.66509,0.66275,0.4089,0.82767,0.97258,1.16129,0.92742,0.00736,0.00736,0.00736
82,925.771,0.89199,1.0938,0.99276,0.92985,0.63559,0.69677,0.71239,0.55899,0.62725,0.68758,0.70262,0.44472,0.80625,0.94246,1.04457,0.92317,0.007327,0.007327,0.007327
83,937.054,0.89437,1.12296,0.99777,0.93227,0.66061,0.6529,0.66702,0.51463,0.65883,0.65064,0.66402,0.41381,0.82042,0.97032,1.14112,0.93223,0.007294,0.007294,0.007294
84,947.931,0.90275,1.1358,1.00683,0.93381,0.70926,0.66925,0.71981,0.55937,0.7066,0.66538,0.71187,0.44717,0.80449,0.95666,0.99392,0.9256,0.007261,0.007261,0.007261
85,959.111,0.89362,1.11498,1.00887,0.93171,0.55598,0.6638,0.64682,0.49925,0.57903,0.64482,0.64194,0.40128,0.81047,0.95074,1.22985,0.92712,0.007228,0.007228,0.007228
86,969.984,0.8901,1.08525,0.96472,0.92852,0.64908,0.62701,0.67455,0.51862,0.65831,0.61776,0.66619,0.4193,0.82094,0.97768,1.1672,0.92445,0.007195,0.007195,0.007195
87,980.752,0.90463,1.12207,1.0082,0.93682,0.67883,0.66621,0.70676,0.55206,0.66839,0.66751,0.70156,0.43332,0.81761,0.96333,1.02482,0.93262,0.007162,0.007162,0.007162
88,991.589,0.88702,1.10252,0.98102,0.92715,0.68352,0.68565,0.72173,0.56449,0.68095,0.68238,0.71471,0.43813,0.81471,0.95142,1.01004,0.92058,0.007129,0.007129,0.007129
89,1002.39,0.87572,1.08552,0.9584,0.91821,0.6808,0.68756,0.71869,0.5682,0.67944,0.68487,0.7135,0.4493,0.79784,0.92459,0.98572,0.92156,0.007096,0.007096,0.007096
90,1013.53,0.89195,1.09201,0.97276,0.92919,0.58879,0.59683,0.60573,0.46059,0.58673,0.59436,0.59987,0.3702,0.81936,0.97215,1.47151,0.92875,0.007063,0.007063,0.007063
91,1024.29,0.89227,1.1108,0.96249,0.92931,0.62722,0.62548,0.63931,0.49854,0.62502,0.62206,0.63316,0.39432,0.81752,0.97507,1.27731,0.92866,0.00703,0.00703,0.00703
