epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,473.733,1.03182,1.26719,1.23844,0.977,0.54625,0.57655,0.57446,0.40301,0.55833,0.55955,0.56837,0.32831,0.97464,1.15603,1.36324,0.98217,0.007525,0.007525,0.007525
77,479.456,1.05295,1.30416,1.26893,0.98133,0.53619,0.6008,0.58012,0.41319,0.52825,0.59103,0.57088,0.34473,0.915,1.06644,1.32383,0.96112,0.007492,0.007492,0.007492
78,485.444,1.03721,1.3012,1.25378,0.98279,0.5604,0.59418,0.57969,0.41652,0.5736,0.57208,0.57042,0.34886,0.94216,1.07745,1.29704,0.97333,0.007459,0.007459,0.007459
79,491.213,1.046,1.31459,1.26601,0.97905,0.55003,0.58648,0.55617,0.39326,0.54185,0.5734,0.53528,0.30001,0.95528,1.16246,1.43265,0.98839,0.007426,0.007426,0.007426
80,497.064,1.0576,1.3129,1.26226,0.98396,0.56837,0.62814,0.61028,0.42119,0.55456,0.62018,0.59447,0.33983,0.93422,1.16315,1.21331,0.97379,0.007393,0.007393,0.007393
81,502.898,1.04074,1.29819,1.2349,0.98019,0.52069,0.61428,0.57655,0.40319,0.51413,0.60874,0.5694,0.32809,0.95408,1.07744,1.30264,0.97108,0.00736,0.00736,0.00736
82,508.996,1.0356,1.26521,1.22386,0.9751,0.61042,0.59335,0.60744,0.43779,0.61206,0.59379,0.60494,0.35989,0.93137,1.0815,1.22874,0.96772,0.007327,0.007327,0.007327
83,514.744,1.05087,1.29639,1.22866,0.9828,0.59311,0.59429,0.60597,0.42963,0.59115,0.59181,0.59901,0.35037,0.94914,1.10192,1.25145,0.97373,0.007294,0.007294,0.007294
84,520.648,1.03809,1.29969,1.23166,0.97619,0.58839,0.58745,0.5955,0.42765,0.58664,0.58689,0.59219,0.35008,0.92722,1.0777,1.24362,0.96714,0.007261,0.007261,0.007261
85,526.588,1.03317,1.29322,1.22904,0.97561,0.52207,0.61913,0.58431,0.4207,0.51759,0.61244,0.5771,0.34494,0.92228,1.10429,1.32128,0.96602,0.007228,0.007228,0.007228
86,532.363,1.03231,1.276,1.21159,0.97641,0.58591,0.61436,0.61227,0.43945,0.58161,0.60638,0.60324,0.35722,0.92029,1.1028,1.29687,0.96153,0.007195,0.007195,0.007195
87,538.07,1.03997,1.3043,1.2409,0.97949,0.58208,0.61346,0.62554,0.45979,0.57937,0.60959,0.62304,0.36102,0.94423,1.1265,1.25536,0.96947,0.007162,0.007162,0.007162
