                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.98078,                 1.2228,                 1.2146,                0.96749,                0.52725,                0.59509,                0.55975,                0.40596,                0.52616,                 0.5934,                0.55625,                0.32491,                0.93892,                 1.1531,                 1.4174,                0.98934,               0.008812,               0.008812,               0.008812
                     38,                0.97242,                 1.2244,                 1.2195,                0.96754,                0.55502,                0.57314,                0.56328,                0.41656,                0.55271,                0.56778,                0.55529,                0.32156,                0.92699,                 1.1975,                 1.3371,                0.97493,               0.008779,               0.008779,               0.008779
                     39,                0.98734,                 1.2169,                 1.1957,                0.96318,                0.55674,                0.55996,                0.58474,                0.43262,                0.55758,                0.54882,                0.57385,                0.34662,                0.90243,                 1.0669,                 1.3964,                0.97279,               0.008746,               0.008746,               0.008746
                     40,                0.98666,                 1.2379,                 1.2082,                0.96758,                0.55839,                0.55068,                0.54147,                0.39078,                 0.5487,                0.55137,                0.53612,                0.31391,                0.91638,                 1.0569,                  1.557,                0.97482,               0.008713,               0.008713,               0.008713
                     41,                0.97312,                 1.2212,                 1.1979,                0.96487,                0.53929,                 0.6055,                0.58424,                0.43868,                0.54885,                0.59218,                0.58245,                0.33795,                0.90261,                 1.1334,                 1.4407,                0.97616,                0.00868,                0.00868,                0.00868
                     42,                0.97683,                 1.2237,                 1.1977,                0.96505,                0.55062,                 0.6241,                0.59929,                0.44799,                0.54616,                 0.6193,                0.59157,                0.35187,                0.90089,                 1.0934,                 1.2321,                0.97502,               0.008647,               0.008647,               0.008647
                     43,                0.95809,                 1.1778,                 1.1449,                0.95861,                0.53835,                0.63913,                0.60449,                0.45117,                0.56205,                0.60788,                0.59731,                0.36096,                 0.8776,                 1.0756,                 1.4371,                0.96292,               0.008614,               0.008614,               0.008614
                     44,                 0.9606,                 1.1935,                 1.1509,                0.95906,                0.49661,                0.60003,                0.56555,                0.42375,                0.49859,                0.60109,                0.56521,                0.34505,                0.91785,                  1.047,                  1.489,                0.97219,               0.008581,               0.008581,               0.008581
                     45,                0.95664,                 1.1883,                 1.1348,                0.95853,                0.52867,                0.64334,                0.60115,                0.44351,                0.52853,                0.64337,                0.59756,                0.34903,                0.91431,                 1.0181,                 1.3467,                0.97471,               0.008548,               0.008548,               0.008548
                     46,                0.93617,                 1.1722,                 1.1175,                0.94899,                0.57351,                0.64299,                0.60818,                0.44726,                0.56773,                0.63527,                0.59663,                0.35311,                0.86879,                 1.0534,                 1.2454,                0.95175,               0.008515,               0.008515,               0.008515
                     47,                0.95221,                 1.1839,                 1.1176,                0.95666,                0.50523,                0.61776,                0.57557,                 0.4351,                0.50646,                0.61935,                0.57246,                0.34031,                 0.9075,                 1.1072,                 1.4587,                0.97919,               0.008482,               0.008482,               0.008482
                     48,                0.94553,                   1.17,                 1.1021,                0.95223,                 0.5118,                0.60371,                0.59704,                0.44909,                 0.5083,                0.59882,                0.59072,                0.34998,                0.88131,                 1.0693,                 1.3829,                0.95828,               0.008449,               0.008449,               0.008449
                     49,                0.94104,                 1.1617,                 1.0903,                 0.9514,                0.54997,                0.61269,                0.61372,                 0.4581,                0.55018,                0.60902,                 0.6062,                0.35859,                0.86338,                 1.0419,                 1.3443,                0.95418,               0.008416,               0.008416,               0.008416
                     50,                0.93805,                   1.16,                 1.0767,                0.94406,                0.59046,                0.61896,                0.63182,                0.47045,                0.58386,                0.61406,                0.62255,                0.36669,                0.88138,                 1.0608,                 1.1939,                0.94938,               0.008383,               0.008383,               0.008383
                     51,                0.93518,                 1.1632,                 1.0846,                0.95058,                0.61694,                 0.6211,                0.64608,                 0.4791,                0.60817,                 0.6167,                 0.6377,                 0.3745,                0.87034,                 1.0366,                 1.1397,                0.95339,                0.00835,                0.00835,                0.00835
                     52,                0.93216,                  1.186,                 1.1039,                0.94831,                0.63267,                0.55708,                0.62146,                0.46281,                0.63267,                0.55708,                0.62016,                0.34355,                0.91902,                 1.1429,                 1.1955,                 0.9787,               0.008317,               0.008317,               0.008317
                     53,                0.93169,                 1.1905,                 1.0901,                0.95151,                 0.6199,                0.63998,                 0.6619,                0.49766,                0.61921,                0.63843,                0.65471,                0.39113,                0.88177,                 1.0276,                 1.1223,                0.95255,               0.008284,               0.008284,               0.008284
                     54,                0.93914,                 1.1584,                 1.0927,                0.94622,                0.59868,                0.67523,                0.65189,                0.49378,                0.60462,                0.66773,                0.64447,                0.38606,                0.86793,                 1.0373,                 1.1645,                0.95102,               0.008251,               0.008251,               0.008251
                     55,                0.94214,                 1.1848,                  1.066,                 0.9477,                0.58987,                0.59869,                0.61032,                0.46159,                0.58158,                0.60795,                0.60341,                0.35508,                0.84685,                 1.0357,                 1.2466,                 0.9532,               0.008218,               0.008218,               0.008218
                     56,                0.92332,                 1.1527,                 1.0459,                0.94119,                 0.5884,                0.60564,                0.61489,                0.46683,                0.58875,                0.60463,                0.61315,                0.36417,                0.86128,                 1.0126,                 1.3019,                0.94964,               0.008185,               0.008185,               0.008185
                     57,                0.92743,                 1.1545,                 1.0508,                0.94482,                0.63779,                0.65273,                0.66791,                0.51399,                0.63441,                0.64857,                0.66177,                0.40016,                0.85153,                0.96073,                 1.1315,                0.94152,               0.008152,               0.008152,               0.008152
                     58,                0.91015,                 1.1693,                 1.0425,                0.94578,                0.64305,                0.65688,                0.67518,                0.50851,                 0.6583,                0.63591,                0.66941,                0.40516,                0.87675,                0.96947,                 1.1068,                0.95337,               0.008119,               0.008119,               0.008119
                     59,                0.94057,                 1.1657,                 1.0377,                0.94786,                0.66173,                0.63893,                0.66838,                0.51064,                0.65563,                0.63232,                0.66128,                0.40367,                0.84569,                0.99859,                 1.1369,                0.94253,               0.008086,               0.008086,               0.008086
                     60,                0.90392,                 1.1567,                0.99395,                0.93652,                0.62784,                0.68736,                0.69269,                0.52611,                0.62524,                0.68406,                0.68849,                0.41475,                0.83881,                 1.0048,                 1.1581,                0.94197,               0.008053,               0.008053,               0.008053
                     61,                 0.9018,                 1.1468,                 0.9911,                0.93646,                0.64094,                0.64975,                0.66506,                0.50517,                 0.6409,                0.64469,                0.65938,                0.38729,                0.87034,                 1.0305,                 1.1586,                 0.9512,                0.00802,                0.00802,                0.00802
                     62,                 0.9243,                  1.163,                 1.0067,                0.94181,                0.62634,                0.64856,                0.67223,                0.51314,                0.62529,                0.64638,                0.66595,                0.39359,                0.87232,                 1.0264,                 1.1798,                0.94402,               0.007987,               0.007987,               0.007987
