epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,673.099,0.94965,1.2191,0.99406,0.94857,0.66975,0.6732,0.7052,0.53369,0.69355,0.65841,0.70476,0.42141,0.86206,1.02259,1.01961,0.94153,0.006931,0.006931,0.006931
95,679.592,0.93268,1.15732,0.9452,0.9367,0.66382,0.68705,0.70949,0.53791,0.6778,0.67486,0.70385,0.42411,0.87489,1.0392,1.03815,0.95224,0.006898,0.006898,0.006898
96,686.203,0.94955,1.20916,0.96577,0.94611,0.70869,0.6798,0.72915,0.55234,0.70419,0.66578,0.72125,0.43938,0.8696,1.03074,1.01483,0.94497,0.006865,0.006865,0.006865
97,694.658,0.97656,1.25699,1.00196,0.9526,0.70388,0.67548,0.71124,0.52391,0.69857,0.66982,0.70508,0.40968,0.87662,1.06436,1.04499,0.94595,0.006832,0.006832,0.006832
98,702.427,0.94804,1.20259,0.97294,0.94371,0.68531,0.66147,0.71095,0.52438,0.68877,0.63817,0.69094,0.3907,0.88429,1.07938,1.02336,0.94945,0.006799,0.006799,0.006799
99,710.477,0.94818,1.23239,0.97227,0.95012,0.71707,0.67927,0.73077,0.55277,0.70994,0.67243,0.72127,0.41475,0.85397,1.0589,1.00318,0.93916,0.006766,0.006766,0.006766
100,718.055,0.95131,1.21936,0.9683,0.94456,0.72054,0.66649,0.72745,0.55153,0.7064,0.66313,0.71611,0.42179,0.86333,1.03182,0.98208,0.93519,0.006733,0.006733,0.006733
101,725.241,0.94556,1.20381,0.96423,0.94376,0.6965,0.65607,0.7124,0.54013,0.69608,0.65568,0.70863,0.4254,0.84725,0.99884,1.02555,0.94015,0.0067,0.0067,0.0067
102,733.901,0.94256,1.20323,0.94922,0.94867,0.71602,0.68509,0.74193,0.56358,0.71476,0.67848,0.7354,0.43929,0.84749,1.01737,0.95602,0.93702,0.006667,0.006667,0.006667
103,742.771,0.94603,1.21581,0.95729,0.94403,0.67953,0.70209,0.73763,0.5507,0.67588,0.69518,0.7294,0.42408,0.86634,1.03937,1.02888,0.94763,0.006634,0.006634,0.006634
104,750.359,0.94691,1.20496,0.94296,0.94471,0.7129,0.68801,0.74129,0.55729,0.73492,0.6672,0.73342,0.4396,0.86272,1.03403,1.01795,0.94121,0.006601,0.006601,0.006601
105,757.224,0.9375,1.17701,0.93112,0.94151,0.71586,0.72051,0.76049,0.5769,0.71366,0.71497,0.75394,0.44549,0.83494,0.99621,0.9497,0.92761,0.006568,0.006568,0.006568
106,763.96,0.93487,1.1775,0.94277,0.93896,0.74103,0.70281,0.76474,0.57644,0.72506,0.69406,0.74513,0.45117,0.85424,0.99784,0.95575,0.93651,0.006535,0.006535,0.006535
107,770.67,0.93992,1.21549,0.94014,0.94674,0.73159,0.69022,0.75122,0.5812,0.72979,0.68821,0.74672,0.45894,0.83535,0.98094,0.93739,0.93141,0.006502,0.006502,0.006502
108,777.328,0.93352,1.18326,0.92339,0.93956,0.74781,0.70961,0.7684,0.6014,0.7457,0.70753,0.76194,0.46561,0.81631,0.96074,0.91202,0.92273,0.006469,0.006469,0.006469
109,784.722,0.93114,1.19203,0.91888,0.9409,0.78718,0.68615,0.7774,0.602,0.7755,0.68329,0.76739,0.46038,0.83155,1.02776,0.88138,0.93042,0.006436,0.006436,0.006436
110,791.787,0.91236,1.17833,0.89248,0.92923,0.76054,0.71618,0.77555,0.5908,0.75857,0.7135,0.77005,0.47558,0.82684,0.95835,0.90932,0.92323,0.006403,0.006403,0.006403
111,798.878,0.91355,1.19308,0.89257,0.93147,0.78297,0.70122,0.78423,0.60051,0.78061,0.6986,0.78083,0.47498,0.82156,0.95172,0.88696,0.92227,0.00637,0.00637,0.00637
112,805.638,0.92459,1.20234,0.89875,0.9397,0.72847,0.67832,0.73414,0.55793,0.72405,0.67565,0.7264,0.42383,0.84164,1.04272,1.02513,0.93661,0.006337,0.006337,0.006337
113,812.226,0.92251,1.20283,0.90754,0.93876,0.75802,0.69728,0.7612,0.59494,0.75396,0.69374,0.75474,0.46579,0.82723,0.9797,0.89348,0.92448,0.006304,0.006304,0.006304
114,818.889,0.93697,1.20625,0.91527,0.93967,0.75688,0.74364,0.78996,0.61436,0.78278,0.71385,0.78372,0.47779,0.82034,0.95965,0.86866,0.92152,0.006271,0.006271,0.006271
115,825.491,0.9139,1.17895,0.89496,0.93355,0.71277,0.71326,0.75653,0.58597,0.71006,0.71063,0.75135,0.45689,0.82574,0.99669,0.95664,0.92324,0.006238,0.006238,0.006238
116,832.504,0.94345,1.2124,0.91701,0.94187,0.71648,0.69763,0.75206,0.57827,0.71357,0.69472,0.74571,0.42187,0.84258,1.04947,0.94412,0.93081,0.006205,0.006205,0.006205
117,839.769,0.92217,1.16822,0.87881,0.93254,0.73811,0.72419,0.77489,0.59093,0.72592,0.71062,0.76455,0.4573,0.81279,0.99773,0.9006,0.91998,0.006172,0.006172,0.006172
118,846.401,0.91303,1.14303,0.87067,0.92887,0.75753,0.7249,0.79329,0.60807,0.758,0.71483,0.7848,0.47852,0.82368,0.96641,0.88306,0.92141,0.006139,0.006139,0.006139
119,854.173,0.91425,1.19645,0.88003,0.93729,0.77508,0.7458,0.80851,0.616,0.7729,0.74167,0.80195,0.48182,0.82071,0.95224,0.84603,0.92668,0.006106,0.006106,0.006106
120,861.167,0.89154,1.13816,0.85939,0.92508,0.81938,0.7168,0.81137,0.63164,0.81495,0.71444,0.80371,0.48773,0.79822,0.97087,0.82857,0.9129,0.006073,0.006073,0.006073
121,867.863,0.90871,1.15558,0.85158,0.92991,0.80663,0.71279,0.79397,0.61255,0.81369,0.7031,0.78667,0.47039,0.81681,0.98302,0.84954,0.92336,0.00604,0.00604,0.00604
122,874.505,0.91649,1.15926,0.87525,0.93527,0.78236,0.72723,0.81058,0.61016,0.78067,0.7242,0.80142,0.46037,0.87505,1.0036,0.8378,0.93443,0.006007,0.006007,0.006007
123,881.03,0.89982,1.13814,0.85556,0.9295,0.75262,0.76313,0.79664,0.61458,0.75246,0.74983,0.78676,0.47824,0.80157,0.96672,0.83674,0.9132,0.005974,0.005974,0.005974
124,887.768,0.91819,1.17942,0.86631,0.93046,0.75511,0.7529,0.79838,0.61956,0.75027,0.74853,0.78839,0.48585,0.79629,0.94535,0.88919,0.91653,0.005941,0.005941,0.005941
125,894.672,0.88436,1.1349,0.8388,0.92226,0.74649,0.70125,0.76474,0.58478,0.74255,0.69808,0.75745,0.46233,0.80216,0.95203,0.94,0.91505,0.005908,0.005908,0.005908
126,901.587,0.90985,1.17845,0.85291,0.93027,0.78494,0.73316,0.80815,0.62203,0.77356,0.7404,0.80149,0.48101,0.79806,0.94738,0.80483,0.91179,0.005875,0.005875,0.005875
127,908.157,0.89293,1.14822,0.83489,0.92312,0.81317,0.74761,0.81795,0.64765,0.81378,0.74479,0.81199,0.49826,0.77918,0.95088,0.79656,0.90951,0.005842,0.005842,0.005842
128,914.907,0.9031,1.13509,0.83674,0.92356,0.77505,0.75386,0.80185,0.62921,0.7703,0.74896,0.79392,0.47914,0.80317,0.97597,0.8308,0.91551,0.005809,0.005809,0.005809
129,921.862,0.91003,1.16139,0.85747,0.92773,0.78691,0.7529,0.80981,0.63358,0.78083,0.74634,0.80012,0.49528,0.78841,0.93637,0.84501,0.91006,0.005776,0.005776,0.005776
130,928.941,0.88763,1.13925,0.83048,0.92242,0.77953,0.75282,0.81427,0.64396,0.78146,0.74498,0.80412,0.49846,0.78372,0.9569,0.83375,0.90832,0.005743,0.005743,0.005743
131,935.655,0.90677,1.16857,0.85074,0.92865,0.82213,0.73994,0.82781,0.65171,0.8197,0.7366,0.81843,0.493,0.77711,0.94374,0.75815,0.91015,0.00571,0.00571,0.00571
132,942.756,0.8946,1.15579,0.82923,0.92544,0.79052,0.76525,0.8194,0.64696,0.78461,0.75957,0.80912,0.49536,0.78067,0.95022,0.80341,0.91169,0.005677,0.005677,0.005677
133,949.38,0.87841,1.11817,0.80358,0.91859,0.82651,0.70902,0.80054,0.62248,0.82451,0.70329,0.79057,0.48527,0.78889,0.96417,0.83739,0.91172,0.005644,0.005644,0.005644
